NAME,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,SIMPLIFIED_MENU,MENU_TYPE,UNITS,EMPLOYEES,ANNUAL_SALES,AVERAGE_CHECK,FOOD_BEVERAGE_PURCHASE,FOOD_PURCHASE,BEVERAGE_PURCHASE,TOTAL_CATEGORY_DRY,TOTAL_CATEGORY_FRESH,TOTAL_CATEGORY_FROZEN,TOTAL_CATEGORY_PROTEIN,"% Share of F&B Purchases from Company",Percentage_Range
"DOMINO'S PIZZA",KING,NC,27021,9016,37169,STOKES,3120,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,"501+ UNITS","20 TO 49","$500,001 - $1,000,000","$7 TO $10",282606.1407,231329.707645695,51276.4330543048,49474.0979733099,27035.0262149235,58876.2793125,53078.7681352997,0.13263811293000016,<50%
"CHINA WOK","WINSTON SALEM",NC,27104,4757,37067,FORSYTH,3120,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CHINESE,CHINESE,"INDEPENDENT (1-9 UNITS)","1 TO 4","<=$500,000","$15 TO $20",28981.0767171817,27212.3884865184,1768.68823066326,4346.49281637473,5613.66264514859,4035.55140720331,10755.8979925212,0.9600691362094358,>90%
"CHURCH'S CHICKEN","WINSTON SALEM",NC,27107,3446,37067,FORSYTH,3120,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",CHICKEN,"FRIED CHICKEN","501+ UNITS","10 TO 19","$500,001 - $1,000,000","$5 TO $7",234799.3494,194379.574346975,40419.7750530254,38999.0448226906,21310.9534550222,46410.5208576039,53869.3545668616,0.1682584990135021,<50%
"GOLDEN CORRAL",SANFORD,NC,27332,9762,37105,LEE,NULL,"LSR - BUFFET RESTAURANTS","CLASSIC & VARIED MENU","VARIED MENU","251-500 UNITS","10 TO 19","$2,500,001 - $5,000,000","$7 TO $10",808499.731833583,722691.785267014,85807.9465665689,128223.449565793,117884.16188652,150204.612348501,249119.844870684,0.7744479925751737,">70% & <90%"
KFC,THOMASVILLE,NC,27360,5747,37057,DAVIDSON,3120,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",CHICKEN,"FRIED CHICKEN","501+ UNITS","20 TO 49","$500,001 - $1,000,000","$5 TO $7",317145.2049,262549.918013725,54595.2868862747,52676.2961345603,28784.861275716,62687.0312226704,72761.732669171,0.8543694722341126,">70% & <90%"
"SUB STATION II",GREENSBORO,NC,27406,4310,37081,GUILFORD,3120,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,"51-100 UNITS","10 TO 19","$500,001 - $1,000,000","$5 TO $7",179658.7938,153769.753729572,25889.0400704283,28846.5628599308,27046.3315967553,39390.7745442443,37869.1505003698,0.9172468248758665,>90%
"VILLAGE PIZZA & PASTA","CHAPEL HILL",NC,27517,6376,37037,CHATHAM,NULL,"LSR - QUICK CASUAL","PIZZA, PASTA & ITALIAN",PIZZERIA,"INDEPENDENT (1-9 UNITS)","1 TO 4","<=$500,000","$7 TO $10",48214.5245167206,44359.9322835384,3854.5922331822,7800.96047191635,6424.320388637,8383.73810717128,14225.2808605533,0.4417963325879761,<50%
"DOMINO'S PIZZA",LOUISBURG,NC,27549,8636,37069,FRANKLIN,6640,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,"501+ UNITS","10 TO 19","$500,001 - $1,000,000","$7 TO $10",209092.8168,171154.738751786,37938.0780482143,36604.5779410714,20002.5016071429,43561.0035,39271.5781553571,0.7133135485788074,">70% & <90%"
"ANDY'S BURGERS SHAKES & FRIES",LOUISBURG,NC,27549,8636,37069,FRANKLIN,6640,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",HAMBURGERS,HAMBURGERS,"51-100 UNITS","10 TO 19","<=$500,000","$5 TO $7",155466.3051,130199.144973779,25267.1601262211,24379.0349899743,13321.8770437018,29012.0877840617,42363.5689989717,0.9749831611794287,>90%
"PIZZA HUT",OXFORD,NC,27565,3652,37077,GRANVILLE,NULL,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,"501+ UNITS","20 TO 49","$500,001 - $1,000,000","$7 TO $10",261442.404,214005.947406888,47436.4565931122,45769.0943227041,25010.4340561224,54467.1675,49103.8188635204,0.44298197079621593,<50%
